version,case,theta_over_pi,beta_over_pi,r,P_valid,is_selected_r
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,38,0.6741899756729228,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,39,0.5273680189513916,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,40,0.3727854301166994,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,41,0.2772285065161911,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,42,0.2627810977357017,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,43,0.3241460245396434,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,44,0.4570628782060091,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,45,0.6446649141291105,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,46,0.8158063331224725,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,47,0.865485362683791,1
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,48,0.7520499158643342,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,49,0.5513566331024929,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,50,0.390111833305076,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,51,0.3388767805685907,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,52,0.3838475285298958,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,53,0.4816434007529844,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,54,0.5975665829025034,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,55,0.6843506707808936,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,56,0.6865623931851074,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,57,0.6053806582715918,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,58,0.5080484034476244,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,59,0.4455139061407017,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,60,0.4161047053905991,0
V4,05_1d_long_clustered_blocks,0.0178571428571428,0.0401785714285714,1,0.3821227664845266,0
V4,05_1d_long_clustered_blocks,0.0178571428571428,0.0401785714285714,2,0.387672479533554,0
V4,05_1d_long_clustered_blocks,0.0178571428571428,0.0401785714285714,3,0.3958637019515968,0
V4,05_1d_long_clustered_blocks,0.0178571428571428,0.0401785714285714,4,0.4066353383618803,0
